City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
201,Quarteira,37.07,-8.1,287.15,87,20,2.6,PT,Sun Mar 31 23:52:17 2019
202,Los llanos de aridane,28.66,-17.92,289.15,67,20,2.6,ES,Sun Mar 31 23:56:01 2019
203,Vila franca do campo,37.72,-25.43,286.15,76,75,4.6,PT,Sun Mar 31 23:30:00 2019
204,Alofi,-19.06,-169.92,298.15,94,92,2.1,NU,Sun Mar 31 23:00:00 2019
205,Geraldton,-28.77,114.6,300.15,61,40,7.2,AU,Sun Mar 31 23:00:00 2019
206,Champerico,14.3,-91.92,296.19,100,8,1.4,GT,Sun Mar 31 23:56:08 2019
207,Henties bay,-22.12,14.28,290.37,87,0,2.68,NA,Sun Mar 31 23:02:15 2019
208,Atar,20.52,-13.05,279.39,81,0,1.25,MR,Sun Mar 31 23:56:09 2019
209,Ahipara,-35.17,173.16,292.14,100,92,2.1,NZ,Sun Mar 31 23:56:09 2019
210,Koudougou,12.25,-2.37,299.09,61,44,2.95,BF,Sun Mar 31 23:55:03 2019
211,Uvalde,29.21,-99.79,279.15,46,90,1.5,US,Sun Mar 31 23:55:30 2019
212,Sieradz,51.6,18.74,277.04,69,0,5.7,PL,Sun Mar 31 23:55:29 2019
213,Bandarbeyla,9.49,50.81,299.69,100,88,1.95,SO,Sun Mar 31 23:56:12 2019
214,Ust-tsilma,65.44,52.15,271.44,79,0,2.7,RU,Sun Mar 31 23:56:12 2019
215,Camacha,33.08,-16.33,288.15,72,40,4.6,PT,Sun Mar 31 23:30:00 2019
216,Aswan,24.09,32.9,289.09,43,0,1.65,EG,Sun Mar 31 23:56:13 2019
217,Luwuk,-0.95,122.79,301.54,88,48,1.15,ID,Sun Mar 31 23:54:12 2019
218,Mezhdurechensk,53.69,88.07,276.79,87,12,1.95,RU,Sun Mar 31 23:56:14 2019
219,Adrar,27.87,-0.29,286.15,62,0,3.1,DZ,Sun Mar 31 23:00:00 2019
220,Mount isa,-20.73,139.49,303.15,30,0,4.1,AU,Sun Mar 31 23:00:00 2019
221,Lundazi,-12.29,33.17,295.89,74,0,3.3,ZM,Sun Mar 31 23:56:16 2019
222,Gejiu,23.36,103.16,293.54,70,36,1.3,CN,Sun Mar 31 23:56:17 2019
223,Luganville,-15.51,167.18,302.19,98,20,3.45,VU,Sun Mar 31 23:56:17 2019
224,Port-gentil,-0.72,8.78,298.15,94,20,2.1,GA,Sun Mar 31 23:00:00 2019
225,Deputatskiy,69.3,139.9,266.34,83,0,1.75,RU,Sun Mar 31 23:56:18 2019
226,Inyonga,-6.72,32.06,294.74,80,36,1.65,TZ,Sun Mar 31 23:56:19 2019
227,Yulara,-25.24,130.99,302.15,14,0,4.6,AU,Sun Mar 31 23:00:00 2019
228,Saskylakh,71.97,114.09,271.34,95,68,5.9,RU,Sun Mar 31 23:56:20 2019
229,Nouadhibou,20.93,-17.03,289.15,87,0,5.1,MR,Sun Mar 31 23:00:00 2019
230,Constitucion,-35.33,-72.42,284.59,96,68,4.3,CL,Sun Mar 31 23:56:21 2019
231,Lakes entrance,-37.88,147.99,291.48,63,0,2.5,AU,Sun Mar 31 23:55:01 2019
232,Borovskoy,53.8,64.15,279.04,74,0,6.85,KZ,Sun Mar 31 23:56:22 2019
233,Mao,14.12,15.31,295.09,21,0,6.7,TD,Sun Mar 31 23:56:23 2019
234,Borovoy,63.23,52.89,270.69,70,24,1.9,RU,Sun Mar 31 23:56:23 2019
235,Bilibino,68.06,166.44,264.94,76,88,1.2,RU,Sun Mar 31 23:56:24 2019
236,Toyooka,35.55,134.82,279.15,100,75,2.1,JP,Sun Mar 31 23:00:00 2019
237,Miri,4.41,114.01,305.15,59,75,2.6,MY,Sun Mar 31 23:00:00 2019
238,Marawi,18.48,31.82,292.44,28,0,3.6,SD,Sun Mar 31 23:56:25 2019
239,Necochea,-38.55,-58.74,290.93,79,88,1.34,AR,Sun Mar 31 23:46:08 2019
240,Svay rieng,11.08,105.8,306.04,67,32,3.9,KH,Sun Mar 31 23:56:26 2019
241,Kearney,40.7,-99.08,276.48,69,1,4.1,US,Sun Mar 31 23:56:03 2019
242,Wanaka,-44.7,169.14,281.64,49,0,2.85,NZ,Sun Mar 31 23:56:27 2019
243,Tura,64.27,100.22,275.89,78,92,3.3,RU,Sun Mar 31 23:56:27 2019
244,Kuryk,43.18,51.68,280.44,83,80,10.15,KZ,Sun Mar 31 23:56:28 2019
245,Butaritari,3.07,172.79,302.24,99,48,5.95,KI,Sun Mar 31 23:52:24 2019
246,Antalaha,-14.9,50.28,301.54,87,56,1.6,MG,Sun Mar 31 23:56:29 2019
247,Linqiong,30.42,103.46,289.15,77,40,1.15,CN,Sun Mar 31 23:00:00 2019
248,Paamiut,61.99,-49.67,268.19,100,12,5.6,GL,Sun Mar 31 23:56:30 2019
249,Niquelandia,-14.47,-48.46,295.24,86,88,1.25,BR,Sun Mar 31 23:56:31 2019
250,Manokwari,-0.87,134.08,300.99,99,76,6.25,ID,Sun Mar 31 23:56:31 2019
251,Cururupu,-1.82,-44.87,295.54,100,92,0.75,BR,Sun Mar 31 23:56:33 2019
252,Broome,-17.97,122.23,310.15,25,0,5.7,AU,Sun Mar 31 23:00:00 2019
253,Zhigansk,66.77,123.37,271.54,68,76,4.05,RU,Sun Mar 31 23:56:34 2019
254,Callaway,46.98,-95.91,273.15,92,90,1.6,US,Sun Mar 31 23:39:00 2019
255,Alice springs,-23.7,133.88,300.15,13,0,5.1,AU,Sun Mar 31 23:30:00 2019
256,Douglas,31.51,-82.85,285.15,50,40,2.6,US,Sun Mar 31 23:55:39 2019
257,Talnakh,69.49,88.39,272.04,97,88,5.25,RU,Sun Mar 31 23:56:36 2019
